Date,Description,Amount
2024-06-26,Pens Purchase,468
2024-07-08,Misc Purchase,5619
2024-06-23,Pens Purchase,2952
2024-09-07,Payroll Transfer,73892
2024-11-21,Printer Paper,1783
2024-08-10,WiFi Payment,2053
2024-10-02,Office Chair,48364
2024-10-30,Broadband Recharge,4368
2024-02-14,Flight Booking,2211
2024-08-25,Rail Ticket,2197
2024-09-10,Facebook Ads,1470
2024-04-18,Swiggy Team Lunch,2297
2024-05-23,Zomato Dinner,1694
2024-04-07,Uber Ride,4432
2024-09-07,Office Stationery,1964
2024-08-31,Repair Service,5857
2024-02-17,Broadband Recharge,941
2024-12-20,Ola Cab,3512
2024-10-24,Notion Annual,5939
2024-09-28,Zomato Dinner,2567
2024-10-08,Zomato Dinner,3355
2024-08-20,Zomato Dinner,3178
2024-04-28,Flight Booking,2259
2024-06-10,Pens Purchase,1088
2024-12-19,Pens Purchase,2494
2024-09-04,Monitor Setup,22180
2024-04-09,Flight Booking,1023
2024-04-01,Ola Cab,3156
2024-03-05,Uber Ride,4575
2024-10-10,Uber Ride,646
2024-02-22,Ola Cab,4221
2024-08-28,Intern Stipend,38634
2024-04-04,Broadband Recharge,3591
2024-09-01,Payroll Transfer,76473
2024-09-08,Office Stationery,1941
2024-12-17,Pens Purchase,2878
2024-10-15,Employee Salary,29777
2024-03-01,Uber Ride,2233
2024-11-01,Misc Purchase,5166
2024-08-14,GitHub Pro,4190
2024-10-18,Rail Ticket,2701
2024-02-20,Intern Stipend,68502
2024-12-04,Zoom License,2667
2024-03-29,Office Stationery,1282
2024-01-02,Local Vendor,1482
2024-10-31,Facebook Ads,12294
2024-04-28,Broadband Recharge,1067
2024-02-06,Flight Booking,3919
2024-11-16,Notion Annual,6953
2024-10-05,GitHub Pro,1440
2024-05-16,Zoom License,7941
2024-03-25,Laptop Purchase,11908
2024-03-04,Flight Booking,3797
2024-12-24,WiFi Payment,3291
2024-10-03,Facebook Ads,9199
2024-11-02,Broadband Recharge,1458
2024-06-14,Payroll Transfer,68138
2024-04-27,Uber Ride,948
2024-05-17,Intern Stipend,73832
2024-09-22,Employee Salary,50834
2024-10-26,Broadband Recharge,2286
2024-09-08,Canva Pro,14340
2024-07-28,Printer Paper,1725
2024-02-23,Zomato Dinner,3044
2024-12-21,Office Chair,34977
2024-10-08,Broadband Recharge,4080
2024-06-10,Payroll Transfer,25771
2024-07-25,Flight Booking,1149
2024-10-04,Local Vendor,5587
2024-04-06,Broadband Recharge,1244
2024-09-12,Courier Charge,5300
2024-05-16,Electricity Bill,2467
2024-08-12,Repair Service,2559
2024-11-18,Electricity Bill,1036
2024-10-09,Zoom License,3045
2024-02-17,Intern Stipend,46738
2024-03-01,AWS Subscription,4280
2024-05-29,Desk Equipment,54963
2024-09-04,Courier Charge,3603
2024-10-09,Electricity Bill,4541
2024-11-02,Desk Equipment,20491
2024-05-21,Repair Service,771
2024-09-16,Facebook Ads,13905
2024-06-01,Uber Ride,2517
2024-10-02,Electricity Bill,4458
2024-10-09,Broadband Recharge,3523
2024-06-13,Misc Purchase,3930
2024-07-15,Zoom License,5184
2024-06-11,GitHub Pro,857
2024-07-16,WiFi Payment,3923
2024-03-05,Desk Equipment,10426
2024-08-13,Courier Charge,1022
2024-01-08,Pens Purchase,2171
2024-03-20,Desk Equipment,50911
2024-06-22,Printer Paper,1385
2024-06-17,Canva Pro,2315
2024-11-16,Misc Purchase,2794
2024-11-12,WiFi Payment,1094
2024-12-16,Office Stationery,2885
2024-08-10,Ola Cab,940
2024-08-15,Pens Purchase,711
2024-01-24,Office Chair,9897
2024-07-02,Swiggy Team Lunch,1501
2024-05-05,Zomato Dinner,896
2024-12-15,Misc Purchase,4836
2024-02-10,Monitor Setup,19473
2024-05-03,Canva Pro,12192
2024-04-28,WiFi Payment,1972
2024-08-23,WiFi Payment,2880
2024-05-27,Uber Ride,4011
2024-08-14,Repair Service,805
2024-11-23,Restaurant Meeting,1525
2024-08-21,Canva Pro,5097
2024-09-04,Ola Cab,3351
2024-10-19,Office Stationery,1862
2024-12-24,Restaurant Meeting,1511
2024-05-20,Uber Ride,3442
2024-12-17,Intern Stipend,76693
2024-09-11,Intern Stipend,68835
2024-04-22,Ola Cab,3086
2024-12-03,Notion Annual,6052
2024-11-26,Laptop Purchase,49121
2024-08-13,Payroll Transfer,71682
2024-03-08,Intern Stipend,43911
2024-07-31,Printer Paper,1638
2024-10-03,Monitor Setup,16661
2024-05-19,Restaurant Meeting,2355
2024-05-31,Office Chair,39578
2024-02-08,Swiggy Team Lunch,2218
2024-12-11,Monitor Setup,52323
2024-02-16,Canva Pro,6992
2024-10-01,Google Ads,5332
2024-12-10,Printer Paper,1809
2024-02-25,Rail Ticket,3243
2024-11-13,GitHub Pro,705
2024-04-23,Courier Charge,5197
2024-12-24,Pens Purchase,2201
2024-03-12,Rail Ticket,1155
2024-09-09,Employee Salary,39946
2024-10-02,Office Stationery,1261
2024-07-08,Desk Equipment,37729
2024-03-20,Misc Purchase,5011
2024-09-07,Canva Pro,2622
2024-12-19,Facebook Ads,1536
2024-08-15,Swiggy Team Lunch,2116
2024-12-17,Notion Annual,1313
2024-11-26,Restaurant Meeting,3993
2024-05-21,Swiggy Team Lunch,1930
2024-08-20,AWS Subscription,7447
2024-11-24,Pens Purchase,1168
2024-06-19,Employee Salary,71563
2024-10-16,Zoom License,6946
2024-10-10,AWS Subscription,7297
2024-04-29,Zoom License,7160
2024-11-01,Swiggy Team Lunch,3530
2024-03-15,Payroll Transfer,76256
2024-02-26,Office Chair,19435
2024-07-02,Employee Salary,20973
2024-03-30,Notion Annual,629
2024-08-03,Uber Ride,1238
2024-08-31,Local Vendor,720
2024-08-19,Broadband Recharge,1693
2024-01-23,Repair Service,5238
2024-11-25,Courier Charge,3952
2024-07-24,Employee Salary,51390
2024-09-08,Canva Pro,2768
2024-06-13,Electricity Bill,1461
2024-05-20,Laptop Purchase,16270
2024-11-01,Courier Charge,3320
2024-09-15,Courier Charge,3916
2024-12-25,Google Ads,13994
2024-10-09,Pens Purchase,2966
2024-04-26,GitHub Pro,4199
2024-08-20,Facebook Ads,14556
2024-02-18,Facebook Ads,12953
2024-12-06,Zomato Dinner,1580
2024-12-17,Flight Booking,1450
2024-02-13,Electricity Bill,1547
2024-07-09,Printer Paper,695
2024-10-14,Laptop Purchase,46434
2024-03-03,Courier Charge,5688
2024-08-04,Facebook Ads,11900
2024-06-08,Payroll Transfer,59348
2024-09-16,Swiggy Team Lunch,2667
2024-09-03,Zoom License,5879
2024-10-11,AWS Subscription,3368
2024-05-22,Swiggy Team Lunch,3423
2024-10-14,GitHub Pro,7423
2024-12-02,Local Vendor,5188
2024-05-19,Uber Ride,1677
2024-01-04,Flight Booking,3075
2024-12-02,Monitor Setup,45114
2024-11-20,Google Ads,3324
2024-09-28,Employee Salary,68897
2024-08-20,GitHub Pro,3939
2024-06-08,Swiggy Team Lunch,1815
2024-02-13,Restaurant Meeting,2742
2024-11-12,Employee Salary,30316
2024-05-19,Intern Stipend,25346
2024-09-05,WiFi Payment,4273
2024-04-20,Broadband Recharge,3037
2024-08-08,Local Vendor,3027
2024-09-06,Printer Paper,2729
2024-04-22,Courier Charge,572
2024-01-04,Canva Pro,1897
2024-03-11,Notion Annual,2230
2024-03-02,Flight Booking,2887
2024-08-08,Payroll Transfer,68956
2024-09-29,Monitor Setup,32917
2024-07-22,Notion Annual,1090
2024-08-23,Payroll Transfer,21228
2024-08-07,Printer Paper,2658
2024-08-01,Canva Pro,11488
2024-01-11,Uber Ride,3518
2024-11-12,Swiggy Team Lunch,3582
2024-02-15,WiFi Payment,3764
2024-08-11,Google Ads,4986
2024-07-21,Canva Pro,2288
2024-06-19,Flight Booking,2015
2024-11-20,Laptop Purchase,41455
2024-04-09,Pens Purchase,2388
2024-11-26,Zomato Dinner,3279
2024-03-15,Monitor Setup,14737
2024-11-04,Ola Cab,1621
2024-11-17,Laptop Purchase,19609
2024-12-14,Broadband Recharge,4477
2024-03-18,Restaurant Meeting,1594
2024-08-14,Electricity Bill,4641
2024-06-29,Flight Booking,660
2024-08-24,Local Vendor,2742
2024-07-07,Electricity Bill,1266
2024-11-10,Uber Ride,939
2024-10-24,Misc Purchase,3990
2024-10-19,Local Vendor,3884
2024-08-31,Notion Annual,5456
2024-08-18,Repair Service,706
2024-09-15,Printer Paper,645
2024-12-28,Laptop Purchase,24236
2024-07-05,Broadband Recharge,2100
2024-07-28,Zomato Dinner,1886
2024-01-27,Restaurant Meeting,2748
2024-02-18,Swiggy Team Lunch,1650
2024-05-09,Misc Purchase,2527
2024-10-25,Office Chair,13341
2024-12-01,Office Chair,28331
2024-12-28,Google Ads,10749
2024-07-11,Printer Paper,2589
2024-12-25,Swiggy Team Lunch,3044
2024-12-09,Local Vendor,5492
2024-01-10,Canva Pro,6928
2024-04-19,Zomato Dinner,1038
2024-04-25,Zomato Dinner,1086
2024-05-31,Monitor Setup,13057
2024-09-26,Pens Purchase,2510
2024-11-12,Intern Stipend,42070
2024-03-24,Desk Equipment,18109
2024-08-12,Monitor Setup,55263
2024-12-12,Payroll Transfer,43874
2024-05-25,GitHub Pro,5501
2024-06-07,Electricity Bill,2759
2024-12-13,Electricity Bill,3813
2024-07-14,Broadband Recharge,3108
2024-04-12,Misc Purchase,1527
2024-11-24,Office Chair,11419
2024-12-30,Broadband Recharge,1640
2024-02-12,Local Vendor,2535
2024-09-19,Office Chair,37446
2024-04-23,Desk Equipment,14010
2024-07-31,Broadband Recharge,1018
2024-07-10,Payroll Transfer,52899
2024-07-10,GitHub Pro,1168
2024-02-20,AWS Subscription,3110
2024-01-20,Swiggy Team Lunch,863
2024-12-27,Rail Ticket,1336
2024-02-10,Broadband Recharge,843
2024-03-17,Payroll Transfer,34133
2024-05-27,Misc Purchase,1110
2024-01-25,Notion Annual,1498
2024-11-14,GitHub Pro,5734
2024-09-12,Electricity Bill,1708
2024-09-20,Local Vendor,5376
2024-08-07,Zoom License,2886
2024-05-03,Intern Stipend,43122
2024-12-08,Google Ads,11885
2024-02-04,Pens Purchase,1777
2024-08-28,Local Vendor,3398
2024-07-10,Intern Stipend,45354
2024-02-04,Uber Ride,3125
2024-12-02,Swiggy Team Lunch,3302
2024-03-09,Pens Purchase,1661
2024-06-22,Payroll Transfer,55783
2024-09-02,Desk Equipment,53573
2024-08-22,Monitor Setup,12135
2024-01-23,Payroll Transfer,33211
2024-06-07,AWS Subscription,3085
2024-08-30,Misc Purchase,4648
2024-05-26,Uber Ride,1765
2024-12-01,Swiggy Team Lunch,3846
2024-07-07,Zomato Dinner,809
2024-08-13,Facebook Ads,13178
2024-09-11,Facebook Ads,4060
2024-02-12,Broadband Recharge,2984
2024-11-04,Google Ads,8055
2024-02-22,Office Chair,29050
2024-06-05,Printer Paper,1510
2024-03-26,WiFi Payment,4290
2024-01-22,Broadband Recharge,4462
2024-05-20,Restaurant Meeting,2081
2024-11-22,Employee Salary,63986
2024-12-13,Facebook Ads,9406
2024-11-07,Laptop Purchase,17357
2024-02-04,Electricity Bill,1834
2024-07-15,Notion Annual,3466
2024-12-13,Intern Stipend,30055
2024-08-15,Broadband Recharge,3847
2024-09-28,Pens Purchase,863
2024-11-28,Zomato Dinner,1587
2024-01-14,Ola Cab,1129
2024-07-17,Desk Equipment,41930
2024-05-13,Local Vendor,2344
2024-12-21,Electricity Bill,3139
2024-03-10,Electricity Bill,1804
2024-12-31,Printer Paper,1007
2024-12-07,Electricity Bill,3418
2024-10-08,Restaurant Meeting,565
2024-03-21,Courier Charge,2657
2024-04-24,Office Chair,41341
2024-05-01,Office Stationery,868
2024-10-10,Electricity Bill,3756
2024-10-09,Zomato Dinner,3591
2024-06-07,Laptop Purchase,12308
2024-09-02,Canva Pro,12777
2024-10-21,Misc Purchase,3554
2024-11-24,Office Stationery,1598
2024-12-14,Printer Paper,2208
2024-10-09,Courier Charge,1251
2024-09-14,Monitor Setup,36352
2024-03-19,Employee Salary,53954
2024-06-14,Ola Cab,1526
2024-05-25,Notion Annual,4750
2024-11-21,Printer Paper,1104
2024-11-16,Courier Charge,1225
2024-11-24,Uber Ride,4317
2024-12-03,Monitor Setup,19219
2024-01-15,Restaurant Meeting,468
2024-10-22,Office Stationery,2927
2024-08-01,Ola Cab,4886
2024-11-17,Payroll Transfer,78261
2024-06-03,Courier Charge,5458
2024-06-01,Electricity Bill,4126
2024-03-21,Electricity Bill,1290
2024-08-25,Broadband Recharge,4766
2024-03-14,Notion Annual,5469
2024-06-25,Restaurant Meeting,1607
2024-07-08,Google Ads,13462
2024-05-03,Local Vendor,2814
2024-08-18,Electricity Bill,2991
2024-01-26,Zoom License,1293
2024-05-07,Rail Ticket,3625
2024-06-09,Office Chair,45859
2024-09-20,Zoom License,4581
2024-09-11,Broadband Recharge,3327
2024-09-15,Employee Salary,45771
2024-10-25,Electricity Bill,2562
2024-05-24,Swiggy Team Lunch,507
2024-05-26,WiFi Payment,4655
2024-08-08,Local Vendor,1080
2024-07-06,Office Chair,55677
2024-07-24,Facebook Ads,1741
2024-04-09,Intern Stipend,56819
2024-02-07,Restaurant Meeting,1482
2024-10-08,Canva Pro,8378
2024-02-19,Uber Ride,1254
2024-06-22,Facebook Ads,14023
2024-04-11,Courier Charge,1381
2024-01-21,Misc Purchase,4296
2024-12-31,Employee Salary,28980
2024-08-21,Zomato Dinner,2427
2024-11-09,Monitor Setup,29493
2024-11-11,Swiggy Team Lunch,1909
2024-09-17,Flight Booking,4355
2024-06-02,Misc Purchase,4811
2024-06-18,Electricity Bill,3817
2024-06-06,Printer Paper,2690
2024-05-15,Intern Stipend,51102
2024-09-02,AWS Subscription,5280
2024-12-14,Desk Equipment,17684
2024-12-24,AWS Subscription,5190
2024-08-13,Office Stationery,377
2024-07-30,Zomato Dinner,920
2024-11-09,GitHub Pro,4610
2024-12-27,WiFi Payment,1310
2024-06-15,Monitor Setup,44758
2024-06-09,WiFi Payment,3886
2024-06-24,Desk Equipment,42939
2024-12-14,Courier Charge,5736
2024-05-06,Rail Ticket,1775
2024-06-01,Flight Booking,2042
2024-06-11,Ola Cab,4205
2024-05-27,Broadband Recharge,3040
2024-07-13,Pens Purchase,2524
2024-03-15,Facebook Ads,13665
2024-12-31,Uber Ride,2556
2024-12-01,Printer Paper,2111
2024-04-13,Rail Ticket,1952
2024-12-22,Courier Charge,4804
2024-11-11,Ola Cab,1094
2024-12-08,Zoom License,915
2024-04-29,Repair Service,5426
2024-06-18,Employee Salary,47086
2024-01-03,Electricity Bill,1926
2024-11-30,Repair Service,3533
2024-05-27,Broadband Recharge,2433
2024-01-31,Zomato Dinner,2945
2024-04-28,Pens Purchase,2651
2024-08-01,Local Vendor,1634
2024-09-10,Laptop Purchase,34017
2024-01-05,Office Chair,10455
2024-05-25,Uber Ride,2944
2024-03-09,WiFi Payment,4846
2024-04-08,Misc Purchase,2435
2024-08-22,Printer Paper,965
2024-06-21,Ola Cab,315
2024-11-08,Ola Cab,1637
2024-06-16,Facebook Ads,9442
2024-04-04,Printer Paper,690
2024-05-07,Desk Equipment,29207
2024-04-30,Payroll Transfer,45137
2024-06-03,Broadband Recharge,3500
2024-07-03,Payroll Transfer,62839
2024-03-01,AWS Subscription,5970
2024-07-26,Broadband Recharge,2108
2024-03-01,Courier Charge,5854
2024-04-22,Flight Booking,2009
2024-08-20,Desk Equipment,18039
2024-10-08,Zomato Dinner,3175
2024-05-06,WiFi Payment,2589
2024-09-27,Pens Purchase,2129
2024-02-27,Swiggy Team Lunch,2610
2024-09-15,Intern Stipend,79171
2024-06-16,Zoom License,1847
2024-12-14,Misc Purchase,1152
2024-09-18,GitHub Pro,1244
2024-03-08,Electricity Bill,4514
2024-10-15,Misc Purchase,3942
2024-12-10,Intern Stipend,50302
2024-05-10,Uber Ride,3443
2024-10-23,Intern Stipend,34280
2024-06-25,Office Stationery,2035
2024-02-05,Pens Purchase,546
2024-07-28,Electricity Bill,3151
2024-11-24,Monitor Setup,58189
2024-08-17,Facebook Ads,7266
2024-12-15,Facebook Ads,2314
2024-06-27,Repair Service,5553
2024-07-20,Office Stationery,2500
2024-01-02,Repair Service,2024
2024-12-10,Payroll Transfer,50343
2024-07-13,Misc Purchase,4557
2024-06-26,Zoom License,4273
2024-02-27,Office Chair,20352
2024-11-10,Intern Stipend,47475
2024-02-04,Employee Salary,33505
2024-08-16,Pens Purchase,437
2024-01-23,Employee Salary,68532
2024-10-03,Facebook Ads,4839
2024-09-14,AWS Subscription,1647
2024-06-12,Ola Cab,4919
2024-03-14,Swiggy Team Lunch,1536
2024-06-02,Repair Service,3587
2024-10-29,Uber Ride,4760
2024-09-10,Desk Equipment,44428
2024-12-09,Payroll Transfer,62160
2024-12-22,Canva Pro,6222
2024-06-02,Facebook Ads,3444
2024-10-02,Google Ads,13360
2024-06-02,Electricity Bill,2646
2024-10-14,Desk Equipment,11776
2024-09-28,Facebook Ads,10130
2024-05-10,Desk Equipment,23915
2024-02-10,Notion Annual,5797
2024-10-01,Broadband Recharge,1557
2024-07-12,AWS Subscription,2699
2024-10-27,Employee Salary,32331
2024-04-16,Repair Service,4127
2024-04-18,Zomato Dinner,362
2024-09-02,AWS Subscription,6618
2024-05-02,Zoom License,3749
2024-07-13,Courier Charge,2518
2024-06-06,WiFi Payment,3743
2024-09-11,Flight Booking,4400
2024-06-12,Electricity Bill,4646
2024-07-30,Notion Annual,3063
2024-04-23,Intern Stipend,76628
2024-10-10,Laptop Purchase,25090
2024-04-10,Facebook Ads,3497
2024-10-18,Swiggy Team Lunch,1855
2024-12-01,GitHub Pro,5010
2024-09-07,Zomato Dinner,3426
2024-06-29,Broadband Recharge,2178
2024-10-06,Monitor Setup,55206
2024-09-25,Electricity Bill,1281
2024-12-08,Employee Salary,73608
2024-03-11,Employee Salary,47026
2024-03-18,AWS Subscription,6293
2024-08-21,Employee Salary,53143
2024-11-22,Swiggy Team Lunch,2830
2024-01-09,WiFi Payment,4796
2024-07-29,Intern Stipend,56152
2024-05-20,Employee Salary,54695
2024-09-14,Courier Charge,340
2024-02-19,Google Ads,2753
2024-04-08,Repair Service,2174
2024-05-16,Courier Charge,3103
2024-07-26,Google Ads,7112
2024-12-22,WiFi Payment,2792
2024-02-11,Notion Annual,6103
2024-07-13,Employee Salary,46560
2024-01-29,Canva Pro,8798
2024-02-12,Intern Stipend,31231
2024-10-16,Broadband Recharge,3513
2024-04-27,Pens Purchase,474
2024-01-24,GitHub Pro,2720
2024-10-05,Pens Purchase,1448
2024-06-10,Employee Salary,75733
2024-03-14,Employee Salary,58471
2024-03-24,Google Ads,5903
2024-10-03,GitHub Pro,6046
2024-03-12,Zomato Dinner,3394
2024-01-28,Pens Purchase,1716
2024-02-08,Printer Paper,1250
2024-11-10,Restaurant Meeting,3449
2024-11-20,Facebook Ads,1485
2024-04-26,Rail Ticket,4219
2024-08-09,Restaurant Meeting,1837
2024-11-12,Desk Equipment,13616
2024-02-12,Ola Cab,802
2024-12-30,Ola Cab,3312
2024-07-03,Desk Equipment,28753
2024-06-06,Office Stationery,321
2024-02-22,Broadband Recharge,3009
2024-08-08,Laptop Purchase,20280
2024-07-27,WiFi Payment,4997
2024-06-30,Office Stationery,667
2024-11-02,Local Vendor,5090
2024-05-29,Zomato Dinner,350
2024-02-13,Facebook Ads,13765
2024-09-23,Repair Service,4885
2024-03-12,Desk Equipment,19108
2024-09-09,Flight Booking,2398
2024-08-10,Laptop Purchase,18958
2024-09-04,Rail Ticket,2655
2024-05-06,Printer Paper,1330
2024-08-22,WiFi Payment,2401
2024-01-04,Office Stationery,1547
2024-11-13,Facebook Ads,14788
2024-06-20,Facebook Ads,8212
2024-03-10,Canva Pro,10738
2024-09-02,Flight Booking,1845
2024-06-12,Swiggy Team Lunch,1931
2024-05-04,Rail Ticket,4917
2024-07-20,Zomato Dinner,1448
2024-04-12,Swiggy Team Lunch,2609
2024-10-08,Repair Service,5784
2024-12-28,Intern Stipend,50252
2024-05-29,GitHub Pro,7034
2024-03-12,Printer Paper,2345
2024-12-03,Ola Cab,2269
2024-07-12,Desk Equipment,59712
2024-09-02,Printer Paper,2749
2024-12-20,Canva Pro,9300
2024-07-03,Canva Pro,1602
2024-05-07,Local Vendor,1095
2024-11-09,Swiggy Team Lunch,2950
2024-12-12,Intern Stipend,62272
2024-08-08,Facebook Ads,14045
2024-05-12,Office Stationery,703
2024-07-10,Zoom License,4151
2024-12-13,Facebook Ads,13654
2024-01-13,Repair Service,3025
2024-07-31,Electricity Bill,3220
2024-06-27,Office Stationery,880
2024-04-15,Flight Booking,3930
2024-08-31,Misc Purchase,3053
2024-06-12,Printer Paper,2153
2024-12-29,Printer Paper,483
2024-11-27,Office Stationery,1705
2024-05-04,Pens Purchase,973
2024-03-22,Repair Service,4721
2024-08-24,Restaurant Meeting,2046
2024-04-04,GitHub Pro,5658
2024-01-15,Desk Equipment,33924
2024-08-07,GitHub Pro,5351
2024-04-19,Google Ads,12546
2024-12-26,Notion Annual,6663
2024-10-01,Pens Purchase,716
2024-04-10,Office Chair,29363
2024-12-09,Electricity Bill,2949
2024-11-01,WiFi Payment,3367
2024-10-27,Canva Pro,7431
2024-08-22,Printer Paper,1741
2024-10-29,Office Chair,48270
2024-06-09,Pens Purchase,848
2024-02-29,Office Stationery,1550
2024-03-13,Office Chair,53445
2024-11-01,Misc Purchase,3626
2024-04-05,Desk Equipment,35724
2024-10-11,WiFi Payment,2219
2024-03-12,Desk Equipment,26929
2024-11-13,Office Chair,37556
2024-09-05,Payroll Transfer,20628
2024-10-14,Monitor Setup,33162
2024-12-16,Misc Purchase,3551
